timestamp,num_edges,num_nodes,degree_mean,degree_std,top10_degree_mean,top10_degree_std,top10_degree_ratio,degree_centrality_mean,degree_centrality_std,modularity,transitivity,eigenvector_centrality_mean,eigenvector_centrality_atd,closeness_centrality_mean,closeness_centrality_std,num_components,giant_com_ratio,num_core,avg_core_neighbor,significance
2021-04-09,773,457,3.1553610503282274,16.431674685372847,70.5,87.66213549760238,22.342926490984745,0.006919651426158393,0.036034374310028164,0.405970287068546,0.00047431579945928,0.0327630775310723,0.033388090064164655,0.3474028170913041,0.05855074235637782,2,0.9956236323851203,4,165.75,0.0
2021-04-10,817,477,3.1949685534591197,18.11950012988996,76.0,101.13258624202192,23.787401574803148,0.006712118809788064,0.03806617674346631,0.36993579542714644,0.00022506752025607682,0.03250331057407103,0.032248579200108825,0.36807626853150555,0.06287739359505197,3,0.9916142557651991,4,183.0,0.0
2021-04-11,815,466,3.2703862660944205,17.53683623612557,75.3,94.91580479561873,23.0248031496063,0.007033088744289077,0.03771362631424854,0.37780292227251133,0.0004087917478572499,0.03234891335266243,0.03315826520919112,0.36355010205944605,0.05640753488581867,2,0.9957081545064378,4,178.75,0.0
2021-04-12,777,468,3.141025641025641,17.50181262332295,73.2,96.44355862368414,23.304489795918368,0.0067259649700763206,0.037477114825102686,0.3889027719931511,0.0002457304337142155,0.032608736134222674,0.03276312659806414,0.36706828690711535,0.058004440332585346,1,1.0,4,173.5,0.0
2021-04-13,1006,598,3.1739130434782608,19.592073726778274,93.2,121.17243911055021,29.364383561643837,0.005316437258757556,0.03281754393095188,0.3968039120542838,0.0004108393104746906,0.028208282048442578,0.029606310586614764,0.3499799757654115,0.07872044829503223,2,0.9682274247491639,4,220.0,0.0
2021-04-14,1286,789,3.079847908745247,23.046873754100602,120.1,167.34243335149634,38.995432098765434,0.003908436432417826,0.029247301718401782,0.39805788413012916,0.0001697560699583626,0.024625781397450343,0.025709881631493743,0.3765996821131399,0.05613401707492757,1,1.0,2,413.5,0.0
2021-04-15,1155,693,3.168831168831169,21.379119114960492,107.9,143.23089750469344,34.050409836065576,0.004579235793108625,0.03089468080196603,0.3776476355420188,0.0001492955118036764,0.026031180300144233,0.027665485630706466,0.3616183086001345,0.06485429197508745,5,0.9884559884559885,4,259.75,0.0
2021-04-16,810,520,2.919230769230769,16.931002951589893,74.3,98.442927628144,25.45191040843215,0.005624722098710538,0.032622356361444865,0.4468416767780919,0.00047375901458124965,0.03046563436795062,0.03154238490722078,0.3427412469402236,0.06769990368056335,2,0.9826923076923076,2,252.5,0.0
2021-04-17,743,469,2.997867803837953,16.63998561457651,69.2,92.13446694912822,23.083072546230444,0.00640570043555118,0.03555552481747117,0.4218023144054438,0.0004974749378156328,0.03212405587590569,0.03316988387270292,0.3492152807918574,0.07468795258265318,6,0.976545842217484,2,235.0,0.0
2021-04-18,1297,726,3.3415977961432506,22.96359808733093,120.3,156.1185767293566,36.00074196207749,0.004609100408473449,0.031673928396318524,0.3621423313934166,0.0002934211880984248,0.025672095572565026,0.02680212635655325,0.3758156879422115,0.06355131479792772,4,0.9917355371900827,4,285.75,0.0
2021-04-19,841,502,3.1195219123505975,17.88725361821954,77.5,101.96298347929998,24.843550446998723,0.006226590643414367,0.035703101034370334,0.3985587736853866,0.00036599648643373026,0.031245365138394612,0.03187097472432174,0.36638277792862894,0.053664052677111586,1,1.0,4,183.75,0.0
2021-04-20,471,306,2.810457516339869,12.232898765582075,42.6,54.12614894854428,15.157674418604653,0.009214614807671703,0.040107864805187125,0.4715630070308275,0.0005068851905043508,0.03959303618453339,0.04123548643946595,0.3333607848238523,0.06410846628101904,3,0.9869281045751634,2,138.5,5.7138294096148456e-11
2021-04-21,762,457,3.150984682713348,16.23504745877955,69.9,86.39959490645775,22.18354166666667,0.006910054128757342,0.03560317425170954,0.4254185956790123,0.0005827788839784372,0.0329806282470535,0.03317321160016742,0.3502772664047921,0.061359412235560136,3,0.9890590809628009,4,162.25,0.0
2021-04-22,1140,666,3.219219219219219,20.479169596894533,104.0,132.6039215106401,32.30597014925373,0.00484093115672063,0.030795743754728624,0.4112174377645355,0.0004435432771511849,0.02654175034622317,0.028231843546964192,0.3587139065439613,0.06104887433828164,3,0.993993993993994,4,240.25,0.0
2021-04-23,1089,633,3.1879936808846763,19.720504751781757,97.9,124.38042450482311,30.708969276511397,0.005044293798868159,0.03120333030345215,0.41846817689358706,0.0004309863201749485,0.026846597907807173,0.029309367303648647,0.358582041974391,0.06288635787635977,3,0.9936808846761453,4,222.25,0.0
2021-04-24,1550,867,3.342560553633218,23.78462714620379,140.3,173.26745222343405,41.97380952380953,0.0038597696924171105,0.027464927420558644,0.39859382806542776,0.0003499259926636206,0.023048792928768155,0.024943048771398205,0.36479092874051827,0.06122217034204104,4,0.9930795847750865,4,316.0,0.0
2021-04-25,1193,687,3.2576419213973797,20.718091067862257,109.4,134.23427282180955,33.58257372654156,0.004748749156555949,0.03020129893274381,0.41093118217226055,0.00028005601120224046,0.025867601128150182,0.02804409541358635,0.35825746721093554,0.059830606067160653,3,0.9941775836972343,4,246.5,0.0
2021-04-26,1211,745,3.0201342281879193,20.92930567944368,110.5,144.5456675241427,36.58777777777778,0.004059320199177312,0.02813078720355334,0.44472059259259267,0.0003264003481603714,0.02417755530296991,0.02752685413857643,0.3548426786946746,0.062369690134802765,4,0.9919463087248322,2,368.5,0.0
