timestamp,num_edges,num_nodes,degree_mean,degree_std,top10_degree_mean,top10_degree_std,top10_degree_ratio,degree_centrality_mean,degree_centrality_std,modularity,transitivity,eigenvector_centrality_mean,eigenvector_centrality_atd,closeness_centrality_mean,closeness_centrality_std,num_components,giant_com_ratio,num_core,avg_core_neighbor
2020-04-17,3,5,1.2,0.4000000000000001,1.2,0.4000000000000001,1.0,0.3,0.1,0.4444444444444444,0.0,0.341425607768432,0.2888400151640294,0.3333333333333333,0.0912870929175276,2,0.6,2,1.5
2020-04-21,2,4,1.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.0,0.5,0.0,0.5,0.0,0.3333333333333333,0.0,2,0.5,2,1.0
2020-04-22,2,4,1.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.0,0.5,0.0,0.5,0.0,0.3333333333333333,0.0,2,0.5,2,1.0
2020-04-24,4,8,1.0,0.0,1.0,0.0,1.0,0.1428571428571428,0.0,0.75,0.0,0.3535533905932738,0.0,0.1428571428571428,0.0,4,0.25,2,1.0
2020-04-27,1,2,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7071067811865476,0.0,1.0,0.0,1,1.0,2,1.0
2020-04-28,1,2,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7071067811865476,0.0,1.0,0.0,1,1.0,2,1.0
2020-05-04,1,2,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7071067811865476,0.0,1.0,0.0,1,1.0,2,1.0
2020-05-08,1,2,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7071067811865476,0.0,1.0,0.0,1,1.0,2,1.0
2020-05-14,2,4,1.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.0,0.5,0.0,0.5,0.0,0.3333333333333333,0.0,2,0.5,2,1.0
2020-05-15,1,2,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7071067811865476,0.0,1.0,0.0,1,1.0,2,1.0
2020-05-23,1,2,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7071067811865476,0.0,1.0,0.0,1,1.0,2,1.0
2020-06-05,1,2,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7071067811865476,0.0,1.0,0.0,1,1.0,2,1.0
2020-06-09,1,2,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7071067811865476,0.0,1.0,0.0,1,1.0,2,1.0
2020-06-13,2,3,1.3333333333333333,0.4714045207910317,1.3333333333333333,0.4714045207910317,1.0,0.6666666666666666,0.2357022603955158,0.0,0.0,0.5690356063072538,0.0976309996254741,0.7777777777777777,0.1571348402636772,1,1.0,2,1.5
2020-06-14,1,2,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7071067811865476,0.0,1.0,0.0,1,1.0,2,1.0
2020-06-15,557,451,2.186252771618625,15.404692662458352,49.1,91.90369959909124,22.45851926977688,0.0048583394924858,0.0342326503610185,0.4769573213631818,0.0007209938623086,0.0312862504450456,0.035191837594982,0.3493548439638014,0.0464202420504499,1,1.0,4,118.0
2020-06-16,1723,1318,2.4218512898330804,27.125200791308085,146.9,275.4906350495421,60.65607769423559,0.001838915178309,0.020596204093628,0.4651588243792442,0.00035102412829,0.0184020068076196,0.0204961334616732,0.3514077827692206,0.0618331810627543,4,0.9939301972685888,7,207.57142857142858
2020-06-17,1724,1301,2.5826287471176017,28.298485460021386,146.1,288.7187039316989,56.57026785714286,0.0019866374977827,0.0217680657384779,0.4462836592970527,0.0004010909674314,0.0182106298287735,0.0209048432022367,0.3661281216308563,0.0742604344983734,8,0.98923904688701,9,161.44444444444446
2020-06-18,2937,1994,2.736208625877633,30.525383206904884,227.4,367.2806011757223,83.10769794721408,0.0013729094961754,0.0153162986487229,0.5119250457942401,0.0002730996813837,0.0139667779326515,0.0175052457200865,0.3348732617979719,0.0624830581844826,8,0.9924774322968908,13,177.84615384615384
2020-06-19,3397,2396,2.6786310517529217,33.32925330705416,272.9,438.89485073306565,101.88039887815518,0.0011184263264104,0.0139161809215257,0.5219969913614526,0.0002469771493747,0.0128281624685338,0.0158997018252438,0.3320895230568941,0.0639426277026566,13,0.9895659432387311,12,229.91666666666666
2020-06-20,3017,2189,2.625856555504797,33.47885184061713,243.7,432.15924148396965,92.80781141266527,0.0012001172557151,0.0153011205852911,0.5089527978386116,0.0002241322185191,0.0134524008917369,0.0166091093321176,0.3460952179391954,0.0683125972386749,12,0.9904065783462768,14,178.14285714285714
2020-06-21,4633,3252,2.6691266912669125,38.549667569475055,360.8,595.0858425471068,135.1752995391705,0.0008210171305035,0.0118577876251845,0.5220178544883103,0.0001918642146007,0.0108398561848787,0.0137840702596111,0.3315546939587201,0.0652310589087365,19,0.988929889298893,15,248.2
2020-06-22,4376,3283,2.519646664636004,32.78800310116809,320.4,500.84532542492593,127.16068665377176,0.0007677168387068,0.0099902507925557,0.6098381866163556,0.0002049748468194,0.0099135148017133,0.0143639018374946,0.2664577151037103,0.0820899473905317,80,0.9469996954005484,16,210.3125
2020-06-23,3837,3034,2.3843111404087014,28.29981151835441,257.9,420.9017581336528,108.16541332596071,0.0007861230268409,0.0093306335372088,0.6386584975000162,0.0002729680479833,0.0096976544834866,0.0153477486326958,0.2440233814984184,0.0883667425054405,115,0.9136453526697428,13,201.46153846153845
2020-06-24,3524,2764,2.436324167872648,27.172492588877446,246.9,378.30105736040446,101.34119394119396,0.0008817677046227,0.0098344164273895,0.6743799710832677,0.0002458021000473,0.0100886839864487,0.0161249172445986,0.2455548648795533,0.0676924427359201,39,0.9667149059334298,18,150.44444444444446
2020-06-25,3964,2858,2.6613016095171447,26.89482755959715,269.8,366.8252444966132,101.3789639758086,0.0009315021384379,0.0094136603288754,0.641222566100403,0.0002769353259855,0.009599462765532,0.0160544494176444,0.256058801514129,0.0751592969682262,67,0.94296710986704,17,166.88235294117646
2020-06-26,3555,2963,2.291596355045562,23.52040827415208,201.2,351.77771390467586,87.79905743740794,0.0007736652110214,0.0079407185260472,0.7132765632557616,0.0003386090812771,0.0088954368235963,0.0160737980894418,0.166101574700658,0.0914380964781423,144,0.8066149173135336,15,140.26666666666668
2020-06-27,3578,3046,2.278397898883782,27.61094684386056,206.8,435.7459810485921,90.76553314121038,0.0007482423313247,0.0090676344314813,0.6821653696982811,0.0002187902187902,0.0093921434287188,0.0154947426850344,0.1712972148896496,0.0857104853042203,95,0.8601444517399869,13,162.07692307692307
2020-06-28,2649,2235,2.2961968680089484,22.19071210342274,154.8,293.94176293953194,67.4158222915043,0.0010278410331284,0.0099331746210486,0.6976745333940055,0.0002980415957688,0.0107181524517759,0.0182359124006828,0.1710297061774512,0.0909644457669044,84,0.8304250559284116,13,122.3076923076923
2020-06-29,2304,1974,2.2522796352583585,20.17007680573781,131.6,251.47731508030705,58.42968960863698,0.0011415507527918,0.0102230495720921,0.7122393801845476,0.0003784075226426,0.0112172546904126,0.0195130420534317,0.1637289976500794,0.0863816333596912,83,0.8328267477203647,13,104.23076923076923
2020-06-30,2316,1999,2.248124062031016,18.833343108405792,126.5,234.9290318372764,56.26913662661326,0.0011251872182337,0.0094260976518547,0.7243914597894382,0.0003879532094694,0.0106612124584,0.0196618583551857,0.1455388527090773,0.0801159230333998,90,0.8164082041020511,11,115.9090909090909
2020-07-01,2360,2053,2.2211397954213346,19.19081005879003,131.8,241.8755051674312,59.338903508771935,0.0010824268008875,0.009352246617344,0.7294124153585708,0.0002678353390349,0.0106418654890352,0.0193350138172357,0.1635251220178126,0.0874419490728914,99,0.8236726741354116,13,104.15384615384616
2020-07-02,3014,2510,2.343426294820717,24.415509786629105,187.8,338.77243099166145,80.13906834410065,0.0009340080888085,0.009731171696544,0.6891061440565046,0.0002872069259418,0.0102104870183472,0.0171508696383054,0.1984301256809419,0.0950716031772331,95,0.8521912350597609,14,138.0
